"","V1","V2","V3"
"result.417",93174,0.7,0.9
"result.418",93175,0.75,0.9
"result.419",93316,0.75,0.9
"result.420",93357,0.7,0.9
"result.421",93494,0.7,0.85
"result.422",93729,0.7,0.85
"result.423",94033,0.75,0.85
"result.424",94135,NA,0.4
"result.425",94672,0.75,0.9
"result.426",94769,0.75,0.9
"result.427",95098,0.75,0.9
"result.428",95947,0.7,0.85
"result.429",95950,0.7,0.85
"result.430",95960,0.75,0.9
"result.431",96146,0.75,0.9
"result.432",96150,0.75,0.85
"result.433",96289,0.75,0.9
"result.434",96654,0.7,0.9
"result.435",97797,0.6,0.8
"result.436",97972,0.75,0.9
"result.437",98045,0.6,0.7
"result.438",98515,0.75,0.9
"result.439",98661,0.75,0.9
"result.440",99150,0.8,0.9
"result.441",99281,0.75,0.9
"result.442",99708,0.5,0.7
"result.443",99970,0.75,0.9
"result.444",100145,0.55,0.8
"result.445",100742,0.85,0.95
"result.446",100777,0.6,0.8
"result.447",101076,0.4,0.65
"result.448",101078,0.6,0.85
"result.449",101097,0.6,0.85
"result.450",101387,0.8,0.95
"result.451",101391,0.85,0.95
"result.452",101590,0.8,0.9
"result.453",101764,0.75,0.95
"result.454",101798,0.6,0.85
"result.455",101817,0.6,0.8
"result.456",101981,0.45,0.75
"result.457",102131,0.55,0.65
"result.458",102245,0.75,0.9
"result.459",102251,0.75,0.9
"result.460",102279,0.55,0.75
"result.461",102289,0.5,0.75
"result.462",103018,0.85,0.95
"result.463",103022,0.8,0.95
"result.464",103175,0.75,0.9
"result.465",103499,0.85,0.95
"result.466",103700,0.75,0.95
"result.467",103837,0.7,0.85
"result.468",104128,0.9,0.95
"result.469",104407,0.8,0.95
"result.470",104505,0.85,0.9
"result.471",104518,0.8,0.95
"result.472",104884,0.75,0.95
"result.473",105853,0.9,0.95
"result.474",106644,NA,0.8
"result.475",107082,0.75,0.9
"result.476",107391,0.4,0.8
"result.477",107394,0.4,0.8
"result.478",107843,0.9,0.95
"result.479",108048,NA,0.6
"result.480",108154,0.9,0.95
"result.481",108198,0.85,0.95
"result.482",108226,0.8,0.85
"result.483",108458,0.85,0.95
"result.484",108506,0.8,0.85
"result.485",108514,0.8,0.9
"result.486",108850,0.75,0.85
"result.487",109568,0.85,0.9
"result.488",109598,0.55,0.85
"result.489",110360,0.85,0.9
"result.490",111241,0.65,0.75
"result.491",111400,0.75,0.9
"result.492",111402,0.8,0.9
"result.493",111478,0.6,0.85
"result.494",111539,0.8,0.85
"result.495",112347,0.9,0.9
"result.496",112353,0.65,0.75
"result.497",112392,0.75,0.85
"result.498",112485,0.65,0.8
"result.499",112529,0.65,0.85
"result.500",112882,0.85,0.9
"result.501",113271,0.85,0.9
"result.502",113281,0.75,0.85
"result.503",113501,0.8,0.85
"result.504",113716,0.8,0.9
"result.505",113874,0.75,0.85
"result.506",114092,0.75,0.8
"result.507",114376,0.4,0.8
"result.508",114393,0.8,0.9
"result.509",114521,0.4,0.8
"result.510",114570,0.6,0.8
"result.511",114655,0.6,0.85
